ThreatType,AnnualImpact,RestorationMethod,EcoValue
PlasticIngestion,240SpeciesAffected,BubbleBarriers,8
Entanglement,300000Deaths,RopelessGear,9
ShipStrikes,HighInLanes,AcousticDeterrents,7
NoisePollution,85kmDetection,SanctuaryZones,8
ClimateChange,ZooplanktonShift,PreyEnhancement,9
ChemicalPollutants,20xSafePCBs,FiltrationSystems,7
HabitatDegradation,ReefDamage,KelpRafts,8
WhalingLegacy,1.7BillionCO2Potential,PopulationRecovery,9
Microplastics,Bioaccumulation,UltrasoundDissolvers,8
Acidification,SoundDisruption,NeutralizationModules,7
